fund_id,fonds,jaar,veld,database,verslag,actie,pagina,vindplaats
1,Dierenartsen (SPD - Veterinarians),2025,nominale_dekkingsgraad_pct,,125.7,gevuld,7,"Actuele dekkingsgraad 125,7 | 114,3"
1,Dierenartsen (SPD - Veterinarians),2025,reele_dekkingsgraad_pct,,88.5,gevuld,7,"Reële dekkingsgraad 88,5 | 85,4"
1,Dierenartsen (SPD - Veterinarians),2025,vereiste_dekkingsgraad_pct,119.0,118.4,vervangen,7,"Vereiste dekkingsgraad 118,4 | 116,7"
1,Dierenartsen (SPD - Veterinarians),2025,deelnemers_actief,,4817,gevuld,7,Deelnemers 4.817 | 4.725
1,Dierenartsen (SPD - Veterinarians),2025,deelnemers_slapers,4725,1576,vervangen,7,Gewezen deelnemers 1.576 | 1.512
1,Dierenartsen (SPD - Veterinarians),2025,deelnemers_pensioengerechtigd,4725,2161,vervangen,7,Pensioengerechtigden 2.161 | 2.080
1,Dierenartsen (SPD - Veterinarians),2025,deelnemers_totaal,9486,8673,vervangen,7,(totaalregel) 8.673 | 8.427
1,Dierenartsen (SPD - Veterinarians),2024,beleggingsrendement_pct,8.8,9.0,afwijking_2024,8,"Beleggingsrendement voor risico fonds (%) Werkelijk (inclusief resultaat valuta- en rentehedge) -4,5 | 9,0"
1,Dierenartsen (SPD - Veterinarians),2024,nominale_dekkingsgraad_pct,,114.3,gevuld,7,"Actuele dekkingsgraad 125,7 | 114,3"
1,Dierenartsen (SPD - Veterinarians),2024,vereiste_dekkingsgraad_pct,116.1,116.7,afwijking_2024,7,"Vereiste dekkingsgraad 118,4 | 116,7"
1,Dierenartsen (SPD - Veterinarians),2024,deelnemers_actief,,4725,gevuld,7,Deelnemers 4.817 | 4.725
1,Dierenartsen (SPD - Veterinarians),2024,deelnemers_slapers,1622,1512,afwijking_2024,7,Gewezen deelnemers 1.576 | 1.512
2,Fysiotherapeuten (SPF - Physiotherapists),2025,aum_euro_bn,,0.218942,gevuld,8,Beleggingen ** - voor risico pensioenfonds (x € 1.000) 2025 218.942 | 2024 4.568.267; - voor risico deelnemers 2025 3.909.612
2,Fysiotherapeuten (SPF - Physiotherapists),2025,deelnemers_actief,,23295,gevuld,8,Deelnemers 2025 23.295 | 2024 23.202
2,Fysiotherapeuten (SPF - Physiotherapists),2025,deelnemers_slapers,,8798,gevuld,8,Gewezen deelnemers 2025 8.798 | 2024 8.473
2,Fysiotherapeuten (SPF - Physiotherapists),2025,deelnemers_totaal,,42113,gevuld,8,(totaalregel) 2025 42.113 | 2024 41.020
2,Fysiotherapeuten (SPF - Physiotherapists),2024,nominale_dekkingsgraad_pct,,114.8,gevuld,8,"Aanwezige dekkingsgraad 2025 - | 2024 114,8"
2,Fysiotherapeuten (SPF - Physiotherapists),2024,aum_euro_bn,4.215,4.568267,afwijking_2024,8,Beleggingen ** - voor risico pensioenfonds (x € 1.000) 2025 218.942 | 2024 4.568.267; - voor risico deelnemers 2025 3.909.612
2,Fysiotherapeuten (SPF - Physiotherapists),2024,deelnemers_actief,133,23202,afwijking_2024,8,Deelnemers 2025 23.295 | 2024 23.202
2,Fysiotherapeuten (SPF - Physiotherapists),2024,deelnemers_slapers,23202,8473,afwijking_2024,8,Gewezen deelnemers 2025 8.798 | 2024 8.473
2,Fysiotherapeuten (SPF - Physiotherapists),2024,deelnemers_pensioengerechtigd,23202,,leeggemaakt,,"leesfoutpatroon, niet te bevestigen uit het verslag"
2,Fysiotherapeuten (SPF - Physiotherapists),2024,deelnemers_totaal,46537,41020,afwijking_2024,8,(totaalregel) 2025 42.113 | 2024 41.020
3,Huisartsen (SPH - General Practitioners),2025,nominale_dekkingsgraad_pct,,132.6,gevuld,11,"Dekkingsgraad op basis van DNB-rente (in %) 132,6 127,6"
3,Huisartsen (SPH - General Practitioners),2025,reele_dekkingsgraad_pct,,105.3,gevuld,11,"Reële dekkingsgraad (in %) 105,3 105,1"
3,Huisartsen (SPH - General Practitioners),2025,rente_afdekking_pct,73.4,73,ter_beoordeling,154,Ultimo 2025 werd door het fonds 73% (2024: 68%) van het renterisico strategisch afgedekt.
3,Huisartsen (SPH - General Practitioners),2025,aum_euro_bn,9.26,10.233,ter_beoordeling,125,Beleggingen voor risico fonds 10.233 10.534 (x EUR 1 miljoen)
3,Huisartsen (SPH - General Practitioners),2024,nominale_dekkingsgraad_pct,,127.6,gevuld,11,"Dekkingsgraad op basis van DNB-rente (in %) 132,6 127,6"
3,Huisartsen (SPH - General Practitioners),2024,rente_afdekking_pct,70.6,68,afwijking_2024,154,Ultimo 2025 werd door het fonds 73% (2024: 68%) van het renterisico strategisch afgedekt.
3,Huisartsen (SPH - General Practitioners),2024,aum_euro_bn,9.808,10.534,afwijking_2024,125,Beleggingen voor risico fonds 10.233 10.534 (x EUR 1 miljoen)
4,Loodsen (Pilots),2025,beleggingsrendement_pct,0.5,0.8,vervangen,8,"Nettorendement (in procenten) 2024 9,2 | 2025 0,8"
4,Loodsen (Pilots),2025,aum_euro_bn,0.122,1.043759,vervangen,8,Belegd vermogen ultimo jaar (x 1.000 euro) 2024 1.068.215 | 2025 1.043.759
4,Loodsen (Pilots),2025,deelnemers_actief,17109,469,vervangen,7,Deelnemers 2024 466 | 2025 469
4,Loodsen (Pilots),2025,deelnemers_totaal,17139,1353,vervangen,7,Totaal 2024 1.343 | 2025 1.353
4,Loodsen (Pilots),2024,deelnemers_actief,,466,gevuld,7,Deelnemers 2024 466 | 2025 469
4,Loodsen (Pilots),2024,deelnemers_slapers,,9,gevuld,7,Gewezen deelnemers 2024 9 | 2025 9
4,Loodsen (Pilots),2024,deelnemers_totaal,,1343,gevuld,7,Totaal 2024 1.343 | 2025 1.353
5,Medisch Specialisten (SPMS - Medical Specialists),2025,nominale_dekkingsgraad_pct,,154.7,gevuld,8,"De actuele UFR-dekkingsgraad steeg van 140,2 procent naar 154,7 procent."
5,Medisch Specialisten (SPMS - Medical Specialists),2025,reele_dekkingsgraad_pct,,183.8,gevuld,98,"De reële dekkingsgraad eind 2025 bedraagt derhalve (243,1%/132,3% =) 183,8%."
5,Medisch Specialisten (SPMS - Medical Specialists),2025,vereiste_dekkingsgraad_pct,120.2,121.1,vervangen,8,"Het Vereiste Eigen Vermogen (VEV) steeg van 118,9 procent naar 121,1 procent"
5,Medisch Specialisten (SPMS - Medical Specialists),2025,aum_euro_bn,11.979,14.149911,ter_beoordeling,75,Beleggingen pensioenfonds 14.149.911 13.986.946 (duizenden euro's)
5,Medisch Specialisten (SPMS - Medical Specialists),2025,deelnemers_actief,,9239,gevuld,6,Actieve deelnemers totaal 9.239 9.098
5,Medisch Specialisten (SPMS - Medical Specialists),2025,deelnemers_slapers,,1944,gevuld,6,Premievrĳe rechten (slapers - gewezen deelnemers) totaal 1.944 1.928
5,Medisch Specialisten (SPMS - Medical Specialists),2025,deelnemers_pensioengerechtigd,,8116,gevuld,6,Pensioentrekkenden 8.116 7.953
5,Medisch Specialisten (SPMS - Medical Specialists),2025,deelnemers_totaal,,19299,gevuld,6,Totaal 19.299 18.979
5,Medisch Specialisten (SPMS - Medical Specialists),2024,nominale_dekkingsgraad_pct,,140.2,gevuld,8,"De actuele UFR-dekkingsgraad steeg van 140,2 procent naar 154,7 procent."
5,Medisch Specialisten (SPMS - Medical Specialists),2024,aum_euro_bn,12.482,13.986946,afwijking_2024,75,Beleggingen pensioenfonds 14.149.911 13.986.946 (duizenden euro's)
5,Medisch Specialisten (SPMS - Medical Specialists),2024,deelnemers_actief,,9098,gevuld,6,Actieve deelnemers totaal 9.239 9.098
5,Medisch Specialisten (SPMS - Medical Specialists),2024,deelnemers_slapers,,1928,gevuld,6,Premievrĳe rechten (slapers - gewezen deelnemers) totaal 1.944 1.928
5,Medisch Specialisten (SPMS - Medical Specialists),2024,deelnemers_pensioengerechtigd,,7953,gevuld,6,Pensioentrekkenden 8.116 7.953
5,Medisch Specialisten (SPMS - Medical Specialists),2024,deelnemers_totaal,,18979,gevuld,6,Totaal 19.299 18.979
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,nominale_dekkingsgraad_pct,,131.4,gevuld,6,"Actuele dekkingsgraad 131,4% 121,0%"
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,reele_dekkingsgraad_pct,,99.2,gevuld,24,"De reële dekkingsgraad was ultimo 2025 99,2% (ultimo 2024 was deze 95,9%)"
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,rente_afdekking_pct,99.1,100.0,ter_beoordeling,85,De strategische renteafdekking van 100% op basis van de swapcurve is eind 2025 equivalent met een renteafdekking van 100% op basis van de DNB-methodiek
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,deelnemers_slapers,1352,1373,vervangen,6,Gewezen deelnemers 1.373 1.352
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,deelnemers_pensioengerechtigd,1678,1699,vervangen,6,Pensioengerechtigden 1.699 1.678
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,deelnemers_totaal,6014,6086,vervangen,6,Totaal 6.086 6.014
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,beleggingsrendement_pct,9.6,8.9,afwijking_2024,6,"Netto rendement1) -5,3% 8,9% (Meerjarenoverzicht)"
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,nominale_dekkingsgraad_pct,,121.0,gevuld,6,"Actuele dekkingsgraad 131,4% 121,0%"
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,reele_dekkingsgraad_pct,,95.9,gevuld,24,"De reële dekkingsgraad was ultimo 2025 99,2% (ultimo 2024 was deze 95,9%)"
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,deelnemers_actief,,2984,gevuld,6,Actieve deelnemers 3.014 2.984
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,deelnemers_slapers,,1352,gevuld,6,Gewezen deelnemers 1.373 1.352
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,deelnemers_pensioengerechtigd,,1678,gevuld,6,Pensioengerechtigden 1.699 1.678
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,deelnemers_totaal,,6014,gevuld,6,Totaal 6.086 6.014
8,Verloskundigen (SPV - Midwives),2025,beleggingsrendement_pct,-5.4,-10.1,vervangen,51,"Totaal inclusief rente- en valutahedge -10,1 6,9 8,9 10,6 (portefeuille 2025, benchmark 2025, portefeuille 2024, benchmark 2024)"
8,Verloskundigen (SPV - Midwives),2025,nominale_dekkingsgraad_pct,,138.1,gevuld,8,"Actuele dekkingsgraad 138,1 110,9"
8,Verloskundigen (SPV - Midwives),2025,reele_dekkingsgraad_pct,,152.4,gevuld,8,"Reële dekkingsgraad 152,4 137,1"
