fund_id,fonds,veld,oud,nieuw
1,Dierenartsen (SPD - Veterinarians),deelnemers_slapers,1695,1576
4,Loodsen (Pilots),deelnemers_totaal,17139,1353
4,Loodsen (Pilots),deelnemers_actief,17109,469
5,Medisch Specialisten (SPMS - Medical Specialists),deelnemers_totaal,,19299
5,Medisch Specialisten (SPMS - Medical Specialists),deelnemers_gepensioneerd,,8116
5,Medisch Specialisten (SPMS - Medical Specialists),deelnemers_slapers,,1944
5,Medisch Specialisten (SPMS - Medical Specialists),deelnemers_actief,,9239
6,Openbare Apothekers (SPOA - Public Pharmacists),deelnemers_totaal,6014,6086
6,Openbare Apothekers (SPOA - Public Pharmacists),deelnemers_gepensioneerd,1678,1699
6,Openbare Apothekers (SPOA - Public Pharmacists),deelnemers_slapers,1352,1373
8,Verloskundigen (SPV - Midwives),deelnemers_totaal,719,5278
8,Verloskundigen (SPV - Midwives),deelnemers_gepensioneerd,,638
8,Verloskundigen (SPV - Midwives),deelnemers_slapers,,1769
8,Verloskundigen (SPV - Midwives),deelnemers_actief,,2856
9,ABP (Government and Education),deelnemers_totaal,3139659,3201054
9,ABP (Government and Education),deelnemers_gepensioneerd,1051433,1088584
9,ABP (Government and Education),deelnemers_actief,1306248,1330945
10,Architectenbureaus (Architecture Firms),deelnemers_slapers,23007,23276
10,Architectenbureaus (Architecture Firms),deelnemers_actief,9958,10344
11,Bakkersbedrijf (Bakeries),deelnemers_totaal,145162,146809
11,Bakkersbedrijf (Bakeries),deelnemers_gepensioneerd,24625,26691
11,Bakkersbedrijf (Bakeries),deelnemers_slapers,85680,84739
11,Bakkersbedrijf (Bakeries),deelnemers_actief,34857,35379
13,Beroepsvervoer over de Weg (Commercial Road Transport),deelnemers_totaal,639879,669618
13,Beroepsvervoer over de Weg (Commercial Road Transport),deelnemers_gepensioneerd,116908,126105
13,Beroepsvervoer over de Weg (Commercial Road Transport),deelnemers_slapers,326030,343285
13,Beroepsvervoer over de Weg (Commercial Road Transport),deelnemers_actief,196941,200228
15,Bouw / BPFBouw (Construction),deelnemers_totaal,653807,746664
15,Bouw / BPFBouw (Construction),deelnemers_gepensioneerd,162319,246917
15,Bouw / BPFBouw (Construction),deelnemers_slapers,340126,330636
15,Bouw / BPFBouw (Construction),deelnemers_actief,151362,158410
16,BPL Pensioen (Agriculture),deelnemers_totaal,454318,678488
16,BPL Pensioen (Agriculture),deelnemers_gepensioneerd,20,84328
16,BPL Pensioen (Agriculture),deelnemers_actief,20,136349
17,Detailhandel (Retail),deelnemers_totaal,1287688,1330691
17,Detailhandel (Retail),deelnemers_gepensioneerd,168771,173347
17,Detailhandel (Retail),deelnemers_slapers,751937,785575
17,Detailhandel (Retail),deelnemers_actief,366980,371769
18,HiBiN (Building Materials Trade),deelnemers_gepensioneerd,,6251
18,HiBiN (Building Materials Trade),deelnemers_slapers,,20615
18,HiBiN (Building Materials Trade),deelnemers_actief,,10785
20,Kappersbedrijf (Hairdressers),deelnemers_totaal,77384,78781
20,Kappersbedrijf (Hairdressers),deelnemers_gepensioneerd,4433,4742
20,Kappersbedrijf (Hairdressers),deelnemers_slapers,52507,53634
21,Koopvaardij (Merchant Navy),deelnemers_gepensioneerd,25455,24876
21,Koopvaardij (Merchant Navy),deelnemers_slapers,17885,18243
21,Koopvaardij (Merchant Navy),deelnemers_actief,4635,4770
22,Levensmiddelen / BPFL (Food Industry),deelnemers_gepensioneerd,32482,28282
22,Levensmiddelen / BPFL (Food Industry),deelnemers_actief,148060,143920
23,Medewerkers Apotheken / PMA (Pharmacy Employees),deelnemers_gepensioneerd,,10383
23,Medewerkers Apotheken / PMA (Pharmacy Employees),deelnemers_slapers,,23789
23,Medewerkers Apotheken / PMA (Pharmacy Employees),deelnemers_actief,,23560
24,Metaal & Techniek / PMT (Metal & Technique),deelnemers_totaal,1301729,1327324
24,Metaal & Techniek / PMT (Metal & Technique),deelnemers_gepensioneerd,,263497
24,Metaal & Techniek / PMT (Metal & Technique),deelnemers_slapers,,554865
24,Metaal & Techniek / PMT (Metal & Technique),deelnemers_actief,,449183
25,"MITT (Fashion, Interior, Carpet, and Textile Industry)",deelnemers_totaal,54356,129636
25,"MITT (Fashion, Interior, Carpet, and Textile Industry)",deelnemers_gepensioneerd,88,54479
25,"MITT (Fashion, Interior, Carpet, and Textile Industry)",deelnemers_actief,31,20559
26,Molenaars (Millers),deelnemers_totaal,12346,12142
26,Molenaars (Millers),deelnemers_gepensioneerd,,2767
26,Molenaars (Millers),deelnemers_slapers,,5923
26,Molenaars (Millers),deelnemers_actief,,3452
27,Nederlandse Groothandel / SPNG (Dutch Wholesale),deelnemers_totaal,36879,37474
27,Nederlandse Groothandel / SPNG (Dutch Wholesale),deelnemers_gepensioneerd,7316,7683
27,Nederlandse Groothandel / SPNG (Dutch Wholesale),deelnemers_slapers,24739,25050
27,Nederlandse Groothandel / SPNG (Dutch Wholesale),deelnemers_actief,4824,4741
28,Notariaat (Notaries),deelnemers_gepensioneerd,,6124
28,Notariaat (Notaries),deelnemers_slapers,,9964
28,Notariaat (Notaries),deelnemers_actief,,12540
32,PGB (Various Industries),deelnemers_totaal,,353494
32,PGB (Various Industries),deelnemers_gepensioneerd,,105990
32,PGB (Various Industries),deelnemers_slapers,,225308
32,PGB (Various Industries),deelnemers_actief,,128186
35,Slagersbedrijf (Butchers),deelnemers_gepensioneerd,13829,14598
35,Slagersbedrijf (Butchers),deelnemers_slapers,45077,46253
35,Slagersbedrijf (Butchers),deelnemers_actief,14480,14695
37,Waterbouw (Hydraulic Engineering),deelnemers_actief,2951,3010
38,Werk- en (re)Integratie / PWRI (Work and Reintegration),deelnemers_totaal,185796,185794
38,Werk- en (re)Integratie / PWRI (Work and Reintegration),deelnemers_gepensioneerd,64144,64658
38,Werk- en (re)Integratie / PWRI (Work and Reintegration),deelnemers_slapers,49050,47971
38,Werk- en (re)Integratie / PWRI (Work and Reintegration),deelnemers_actief,72602,73165
39,Woningcorporaties / SPW (Housing Corporations),deelnemers_totaal,,79859
39,Woningcorporaties / SPW (Housing Corporations),deelnemers_gepensioneerd,,23119
39,Woningcorporaties / SPW (Housing Corporations),deelnemers_slapers,,24735
39,Woningcorporaties / SPW (Housing Corporations),deelnemers_actief,,32005
41,Zorg en Welzijn / PFZW (Healthcare and Welfare),deelnemers_totaal,,3037700
41,Zorg en Welzijn / PFZW (Healthcare and Welfare),deelnemers_gepensioneerd,,676200
41,Zorg en Welzijn / PFZW (Healthcare and Welfare),deelnemers_slapers,,897900
41,Zorg en Welzijn / PFZW (Healthcare and Welfare),deelnemers_actief,,1463600
42,Zorgverzekeraars / SBZ (Health Insurers),deelnemers_totaal,33129,44816
42,Zorgverzekeraars / SBZ (Health Insurers),deelnemers_gepensioneerd,9723,10357
42,Zorgverzekeraars / SBZ (Health Insurers),deelnemers_slapers,23391,23027
42,Zorgverzekeraars / SBZ (Health Insurers),deelnemers_actief,15,10786
43,Zuivel- en aanverwante industrie / BPZ (Dairy Industry),deelnemers_totaal,8614,17502
43,Zuivel- en aanverwante industrie / BPZ (Dairy Industry),deelnemers_gepensioneerd,1377,1689
43,Zuivel- en aanverwante industrie / BPZ (Dairy Industry),deelnemers_slapers,5267,5899
43,Zuivel- en aanverwante industrie / BPZ (Dairy Industry),deelnemers_actief,1970,9914
45,IBM (SPIN) / IBM Nederland,deelnemers_totaal,,12633
45,IBM (SPIN) / IBM Nederland,deelnemers_gepensioneerd,,5691
45,IBM (SPIN) / IBM Nederland,deelnemers_slapers,,5808
45,IBM (SPIN) / IBM Nederland,deelnemers_actief,,1134
49,KLM Vliegend Personeel (Flight Crew),deelnemers_totaal,5974,6170
49,KLM Vliegend Personeel (Flight Crew),deelnemers_gepensioneerd,2449,2494
49,KLM Vliegend Personeel (Flight Crew),deelnemers_slapers,85,73
49,KLM Vliegend Personeel (Flight Crew),deelnemers_actief,3440,3603
50,Mediahuis Nederland (Mhpf),deelnemers_totaal,,7406
50,Mediahuis Nederland (Mhpf),deelnemers_gepensioneerd,,2147
50,Mediahuis Nederland (Mhpf),deelnemers_slapers,,4214
50,Mediahuis Nederland (Mhpf),deelnemers_actief,,1045
51,Shell (SSPF),deelnemers_totaal,,29020
51,Shell (SSPF),deelnemers_gepensioneerd,,18532
51,Shell (SSPF),deelnemers_slapers,,6377
51,Shell (SSPF),deelnemers_actief,,4111
56,Foodservice & Groothandel in Levensmiddelen (Foodservice & Wholesale),deelnemers_totaal,47514,72194
56,Foodservice & Groothandel in Levensmiddelen (Foodservice & Wholesale),deelnemers_gepensioneerd,12123,12695
56,Foodservice & Groothandel in Levensmiddelen (Foodservice & Wholesale),deelnemers_slapers,35373,37259
56,Foodservice & Groothandel in Levensmiddelen (Foodservice & Wholesale),deelnemers_actief,18,22240
57,Media PNO (Creative and Digital Sector),deelnemers_gepensioneerd,,12090
57,Media PNO (Creative and Digital Sector),deelnemers_slapers,,36785
57,Media PNO (Creative and Digital Sector),deelnemers_actief,,22263
60,"Schilders-, Afwerkings- en Glaszetbedrijf (Painters and Glaziers)",deelnemers_totaal,171322,102989
60,"Schilders-, Afwerkings- en Glaszetbedrijf (Painters and Glaziers)",deelnemers_actief,103000,34560
61,Schoonmaak- en Glazenwassersbedrijf,deelnemers_gepensioneerd,44263,47552
61,Schoonmaak- en Glazenwassersbedrijf,deelnemers_slapers,278717,291973
61,Schoonmaak- en Glazenwassersbedrijf,deelnemers_actief,116644,118706
62,"Vlakglas, Verf, Glasbewerking- en het Glazeniersbedrijf / BPFV (Flat Glass, Paint, and Glazing)",deelnemers_totaal,26729,50588
62,"Vlakglas, Verf, Glasbewerking- en het Glazeniersbedrijf / BPFV (Flat Glass, Paint, and Glazing)",deelnemers_gepensioneerd,11,10811
62,"Vlakglas, Verf, Glasbewerking- en het Glazeniersbedrijf / BPFV (Flat Glass, Paint, and Glazing)",deelnemers_slapers,26707,27186
62,"Vlakglas, Verf, Glasbewerking- en het Glazeniersbedrijf / BPFV (Flat Glass, Paint, and Glazing)",deelnemers_actief,11,12591
63,"Vlees, Vleeswaren, Gemaksvoeding en Pluimveevlees / VLEP (Meat and Poultry)",deelnemers_totaal,137356,142570
63,"Vlees, Vleeswaren, Gemaksvoeding en Pluimveevlees / VLEP (Meat and Poultry)",deelnemers_gepensioneerd,16969,17874
63,"Vlees, Vleeswaren, Gemaksvoeding en Pluimveevlees / VLEP (Meat and Poultry)",deelnemers_slapers,91990,95797
63,"Vlees, Vleeswaren, Gemaksvoeding en Pluimveevlees / VLEP (Meat and Poultry)",deelnemers_actief,28397,28899
65,Centraal Beheer APF,deelnemers_totaal,,90766
