fund_id,fonds,jaar,veld,database,verslag,actie,pagina,vindplaats,tweede_lezing
2,Fysiotherapeuten (SPF - Physiotherapists),2025,aum_euro_bn,,0.218942,gevuld,8,Beleggingen ** - voor risico pensioenfonds (x € 1.000) 2025 218.942 | 2024 4.568.267; - voor risico deelnemers 2025 3.909.612,beide_fout
2,Fysiotherapeuten (SPF - Physiotherapists),2024,nominale_dekkingsgraad_pct,,114.8,gevuld,8,"Aanwezige dekkingsgraad 2025 - | 2024 114,8",niet_nagelezen
3,Huisartsen (SPH - General Practitioners),2025,rente_afdekking_pct,73.4,73,ter_beoordeling,154,Ultimo 2025 werd door het fonds 73% (2024: 68%) van het renterisico strategisch afgedekt.,niet_te_bepalen
3,Huisartsen (SPH - General Practitioners),2025,aum_euro_bn,9.26,10.233,ter_beoordeling,125,Beleggingen voor risico fonds 10.233 10.534 (x EUR 1 miljoen),beide_fout
4,Loodsen (Pilots),2024,deelnemers_slapers,,9,gevuld,7,Gewezen deelnemers 2024 9 | 2025 9,niet_nagelezen
5,Medisch Specialisten (SPMS - Medical Specialists),2025,aum_euro_bn,11.979,14.149911,ter_beoordeling,75,Beleggingen pensioenfonds 14.149.911 13.986.946 (duizenden euro's),beide_fout
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,rente_afdekking_pct,99.1,100.0,ter_beoordeling,85,De strategische renteafdekking van 100% op basis van de swapcurve is eind 2025 equivalent met een renteafdekking van 100% op basis van de DNB-methodiek,niet_te_bepalen
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,deelnemers_actief,,2984,gevuld,6,Actieve deelnemers 3.014 2.984,niet_nagelezen
8,Verloskundigen (SPV - Midwives),2025,beleggingsrendement_pct,-5.4,-10.1,vervangen,51,"Totaal inclusief rente- en valutahedge -10,1 6,9 8,9 10,6 (portefeuille 2025, benchmark 2025, portefeuille 2024, benchmark 2024)",database_klopt
8,Verloskundigen (SPV - Midwives),2025,rente_afdekking_pct,56.3,60,ter_beoordeling,51,Vanaf begin 2025 dekt het pensioenfonds 60% van het renterisico op basis van de marktrente af,niet_te_bepalen
9,ABP (Government and Education),2025,rente_afdekking_pct,59.3,49.1,ter_beoordeling,26,"Eind 2025 bedroeg de renteafdekking, net als eind 2024, 49,1%",voorstel_klopt
9,ABP (Government and Education),2025,aum_euro_bn,531.83,559.698,ter_beoordeling,130,Totaal beleggingen (in € mln) Totaal 2025 559.698 | Totaal 2024 568.856,voorstel_klopt
10,Architectenbureaus (Architecture Firms),2025,rente_afdekking_pct,74.2,70.0,ter_beoordeling,7,We have therefore hedged 70% of the interest rate risk.,niet_te_bepalen
12,Banden- en Wielenbranche (Tire and Wheel Branch),2025,rente_afdekking_pct,90.4,87.0,ter_beoordeling,76,"De feitelijke renteafdekking op basis van de DNB-methodiek bedraagt 87,0% eind 2025",voorstel_klopt
13,Beroepsvervoer over de Weg (Commercial Road Transport),2025,rente_afdekking_pct,62.6,65.0,ter_beoordeling,115,De werkelijke afdekking ultimo 2025 bedraagt 65% (2024: 58%),voorstel_klopt
13,Beroepsvervoer over de Weg (Commercial Road Transport),2025,aum_euro_bn,37.1,34.781,ter_beoordeling,5,"Balanswaarde (jaareinde, incl. derivaten passiva) 34.781 33.945 (Bedragen x € 1.000.000)",voorstel_klopt
14,Beton / Betonproductenindustrie (Concrete Industry),2025,rente_afdekking_pct,82.8,79.0,ter_beoordeling,86,"De renteafdekking per balansdatum, op basis van marktrente, bedraagt 79,0%.",voorstel_klopt
14,Beton / Betonproductenindustrie (Concrete Industry),2025,aum_euro_bn,1.187,1.612035,ter_beoordeling,65,Beleggingen voor risico pensioenfonds (* € 1.000) 1.612.035 1.352.523,voorstel_klopt
15,Bouw / BPFBouw (Construction),2025,rente_afdekking_pct,93.5,61.6,ter_beoordeling,135,"Het werkelijke afdekkingsniveau ultimo 2025 is uitgekomen op 61,6 procent van de dekkingsgraad (2024: 61,8 procent",voorstel_klopt
