fund_id,fonds,jaar,veld,database,verslag,actie,pagina,vindplaats
1,Dierenartsen (SPD - Veterinarians),2025,nominale_dekkingsgraad_pct,,125.7,gevuld,7,"Actuele dekkingsgraad 125,7 | 114,3"
1,Dierenartsen (SPD - Veterinarians),2025,reele_dekkingsgraad_pct,,88.5,gevuld,7,"Reële dekkingsgraad 88,5 | 85,4"
1,Dierenartsen (SPD - Veterinarians),2025,vereiste_dekkingsgraad_pct,119.0,118.4,vervangen,7,"Vereiste dekkingsgraad 118,4 | 116,7"
1,Dierenartsen (SPD - Veterinarians),2025,deelnemers_actief,,4817,gevuld,7,Deelnemers 4.817 | 4.725
1,Dierenartsen (SPD - Veterinarians),2025,deelnemers_slapers,4725,1576,vervangen,7,Gewezen deelnemers 1.576 | 1.512
1,Dierenartsen (SPD - Veterinarians),2025,deelnemers_pensioengerechtigd,4725,2161,vervangen,7,Pensioengerechtigden 2.161 | 2.080
1,Dierenartsen (SPD - Veterinarians),2025,deelnemers_totaal,9486,8673,vervangen,7,(totaalregel) 8.673 | 8.427
1,Dierenartsen (SPD - Veterinarians),2024,nominale_dekkingsgraad_pct,,114.3,gevuld,7,"Actuele dekkingsgraad 125,7 | 114,3"
1,Dierenartsen (SPD - Veterinarians),2024,deelnemers_actief,,4725,gevuld,7,Deelnemers 4.817 | 4.725
2,Fysiotherapeuten (SPF - Physiotherapists),2025,deelnemers_actief,,23295,gevuld,8,Deelnemers 2025 23.295 | 2024 23.202
2,Fysiotherapeuten (SPF - Physiotherapists),2025,deelnemers_slapers,,8798,gevuld,8,Gewezen deelnemers 2025 8.798 | 2024 8.473
2,Fysiotherapeuten (SPF - Physiotherapists),2025,deelnemers_totaal,,42113,gevuld,8,(totaalregel) 2025 42.113 | 2024 41.020
2,Fysiotherapeuten (SPF - Physiotherapists),2024,deelnemers_pensioengerechtigd,23202,,leeggemaakt,,"leesfoutpatroon, niet te bevestigen uit het verslag"
3,Huisartsen (SPH - General Practitioners),2025,nominale_dekkingsgraad_pct,,132.6,gevuld,11,"Dekkingsgraad op basis van DNB-rente (in %) 132,6 127,6"
3,Huisartsen (SPH - General Practitioners),2025,reele_dekkingsgraad_pct,,105.3,gevuld,11,"Reële dekkingsgraad (in %) 105,3 105,1"
3,Huisartsen (SPH - General Practitioners),2024,nominale_dekkingsgraad_pct,,127.6,gevuld,11,"Dekkingsgraad op basis van DNB-rente (in %) 132,6 127,6"
4,Loodsen (Pilots),2025,beleggingsrendement_pct,0.5,0.8,vervangen,8,"Nettorendement (in procenten) 2024 9,2 | 2025 0,8"
4,Loodsen (Pilots),2025,aum_euro_bn,0.122,1.043759,vervangen,8,Belegd vermogen ultimo jaar (x 1.000 euro) 2024 1.068.215 | 2025 1.043.759
4,Loodsen (Pilots),2025,deelnemers_actief,17109,469,vervangen,7,Deelnemers 2024 466 | 2025 469
4,Loodsen (Pilots),2025,deelnemers_totaal,17139,1353,vervangen,7,Totaal 2024 1.343 | 2025 1.353
4,Loodsen (Pilots),2024,deelnemers_actief,,466,gevuld,7,Deelnemers 2024 466 | 2025 469
4,Loodsen (Pilots),2024,deelnemers_totaal,,1343,gevuld,7,Totaal 2024 1.343 | 2025 1.353
5,Medisch Specialisten (SPMS - Medical Specialists),2025,nominale_dekkingsgraad_pct,,154.7,gevuld,8,"De actuele UFR-dekkingsgraad steeg van 140,2 procent naar 154,7 procent."
5,Medisch Specialisten (SPMS - Medical Specialists),2025,reele_dekkingsgraad_pct,,183.8,gevuld,98,"De reële dekkingsgraad eind 2025 bedraagt derhalve (243,1%/132,3% =) 183,8%."
5,Medisch Specialisten (SPMS - Medical Specialists),2025,vereiste_dekkingsgraad_pct,120.2,121.1,vervangen,8,"Het Vereiste Eigen Vermogen (VEV) steeg van 118,9 procent naar 121,1 procent"
5,Medisch Specialisten (SPMS - Medical Specialists),2025,deelnemers_actief,,9239,gevuld,6,Actieve deelnemers totaal 9.239 9.098
5,Medisch Specialisten (SPMS - Medical Specialists),2025,deelnemers_slapers,,1944,gevuld,6,Premievrĳe rechten (slapers - gewezen deelnemers) totaal 1.944 1.928
5,Medisch Specialisten (SPMS - Medical Specialists),2025,deelnemers_pensioengerechtigd,,8116,gevuld,6,Pensioentrekkenden 8.116 7.953
5,Medisch Specialisten (SPMS - Medical Specialists),2025,deelnemers_totaal,,19299,gevuld,6,Totaal 19.299 18.979
5,Medisch Specialisten (SPMS - Medical Specialists),2024,nominale_dekkingsgraad_pct,,140.2,gevuld,8,"De actuele UFR-dekkingsgraad steeg van 140,2 procent naar 154,7 procent."
5,Medisch Specialisten (SPMS - Medical Specialists),2024,deelnemers_actief,,9098,gevuld,6,Actieve deelnemers totaal 9.239 9.098
5,Medisch Specialisten (SPMS - Medical Specialists),2024,deelnemers_slapers,,1928,gevuld,6,Premievrĳe rechten (slapers - gewezen deelnemers) totaal 1.944 1.928
5,Medisch Specialisten (SPMS - Medical Specialists),2024,deelnemers_pensioengerechtigd,,7953,gevuld,6,Pensioentrekkenden 8.116 7.953
5,Medisch Specialisten (SPMS - Medical Specialists),2024,deelnemers_totaal,,18979,gevuld,6,Totaal 19.299 18.979
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,nominale_dekkingsgraad_pct,,131.4,gevuld,6,"Actuele dekkingsgraad 131,4% 121,0%"
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,reele_dekkingsgraad_pct,,99.2,gevuld,24,"De reële dekkingsgraad was ultimo 2025 99,2% (ultimo 2024 was deze 95,9%)"
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,deelnemers_slapers,1352,1373,vervangen,6,Gewezen deelnemers 1.373 1.352
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,deelnemers_pensioengerechtigd,1678,1699,vervangen,6,Pensioengerechtigden 1.699 1.678
6,Openbare Apothekers (SPOA - Public Pharmacists),2025,deelnemers_totaal,6014,6086,vervangen,6,Totaal 6.086 6.014
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,nominale_dekkingsgraad_pct,,121.0,gevuld,6,"Actuele dekkingsgraad 131,4% 121,0%"
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,reele_dekkingsgraad_pct,,95.9,gevuld,24,"De reële dekkingsgraad was ultimo 2025 99,2% (ultimo 2024 was deze 95,9%)"
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,deelnemers_slapers,,1352,gevuld,6,Gewezen deelnemers 1.373 1.352
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,deelnemers_pensioengerechtigd,,1678,gevuld,6,Pensioengerechtigden 1.699 1.678
6,Openbare Apothekers (SPOA - Public Pharmacists),2024,deelnemers_totaal,,6014,gevuld,6,Totaal 6.086 6.014
8,Verloskundigen (SPV - Midwives),2025,nominale_dekkingsgraad_pct,,138.1,gevuld,8,"Actuele dekkingsgraad 138,1 110,9"
8,Verloskundigen (SPV - Midwives),2025,reele_dekkingsgraad_pct,,152.4,gevuld,8,"Reële dekkingsgraad 152,4 137,1"
8,Verloskundigen (SPV - Midwives),2025,vereiste_dekkingsgraad_pct,120.8,120.6,vervangen,8,"Vereiste dekingsgraad 120,6 117,5"
8,Verloskundigen (SPV - Midwives),2025,deelnemers_slapers,1678,1769,vervangen,8,Gewezen deelnemers 1.769 1.678
8,Verloskundigen (SPV - Midwives),2025,deelnemers_pensioengerechtigd,589,638,vervangen,8,Pensioengerechtigden 638 589
8,Verloskundigen (SPV - Midwives),2025,deelnemers_totaal,,5278,gevuld,8,5.278 5.123
8,Verloskundigen (SPV - Midwives),2024,deelnemers_pensioengerechtigd,,589,gevuld,8,Pensioengerechtigden 638 589
8,Verloskundigen (SPV - Midwives),2024,deelnemers_totaal,,5123,gevuld,8,5.278 5.123
9,ABP (Government and Education),2025,nominale_dekkingsgraad_pct,,123.5,gevuld,7,"Dekkingsgraad (A/B) in % 2025 123,5 | 2024 111,7"
9,ABP (Government and Education),2025,reele_dekkingsgraad_pct,,87.5,gevuld,7,"Reële dekkingsgraad in % 2025 87,5 | 2024 85,2"
9,ABP (Government and Education),2025,deelnemers_actief,1306248,1330945,vervangen,7,Actieve deelnemers 2025 1.330.945 | 2024 1.306.248
9,ABP (Government and Education),2025,deelnemers_pensioengerechtigd,1051433,1088584,vervangen,7,Pensioengerechtigden 2025 1.088.584 | 2024 1.051.433
9,ABP (Government and Education),2025,deelnemers_totaal,3139659,3201054,vervangen,7,Totaal deelnemers 2025 3.201.054 | 2024 3.139.659
9,ABP (Government and Education),2024,nominale_dekkingsgraad_pct,,111.7,gevuld,7,"Dekkingsgraad (A/B) in % 2025 123,5 | 2024 111,7"
9,ABP (Government and Education),2024,deelnemers_totaal,,3139659,gevuld,7,Totaal deelnemers 2025 3.201.054 | 2024 3.139.659
10,Architectenbureaus (Architecture Firms),2025,beleggingsrendement_pct,-1.2,-1.5,vervangen,6,Realised investment return -1.50% 11.58% 10.38% (header 2025 2024 2023 2022 2021)
10,Architectenbureaus (Architecture Firms),2025,nominale_dekkingsgraad_pct,,137.0,gevuld,6,Current funding ratio 137.0% 122.9% 117.8%
10,Architectenbureaus (Architecture Firms),2025,deelnemers_actief,9958,10344,vervangen,6,"Participants 10,344 9,958 9,895"
10,Architectenbureaus (Architecture Firms),2025,deelnemers_slapers,23007,23276,vervangen,6,"Former participants 23,276 23,007 23,029"
10,Architectenbureaus (Architecture Firms),2024,nominale_dekkingsgraad_pct,,122.9,gevuld,6,Current funding ratio 137.0% 122.9% 117.8%
10,Architectenbureaus (Architecture Firms),2024,deelnemers_slapers,,23007,gevuld,6,"Former participants 23,276 23,007 23,029"
11,Bakkersbedrijf (Bakeries),2025,beleggingsrendement_pct,-4.7,-5.2,vervangen,6,"Jaarrendement portefeuille -5,2% (2025) | 10,0% (2024)"
11,Bakkersbedrijf (Bakeries),2025,nominale_dekkingsgraad_pct,,130.1,gevuld,6,"Dekkingsgraad 130,1% | 115,5%"
11,Bakkersbedrijf (Bakeries),2025,reele_dekkingsgraad_pct,,87.0,gevuld,6,"Reële dekkingsgraad 87,0% | 86,9%"
11,Bakkersbedrijf (Bakeries),2025,deelnemers_actief,34857,35379,vervangen,6,"Deelnemers, actief en voortgezet 35.379 | 35.636"
11,Bakkersbedrijf (Bakeries),2025,deelnemers_slapers,85680,84739,vervangen,6,Gewezen deelnemers (slapers) 84.739 | 85.650
11,Bakkersbedrijf (Bakeries),2025,deelnemers_pensioengerechtigd,24625,26691,vervangen,6,Pensioengerechtigden 26.691 | 25.365
11,Bakkersbedrijf (Bakeries),2025,deelnemers_totaal,145162,146809,vervangen,6,Totaal aantal deelnemers 146.809 | 146.651
